Div,Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomePoint,AwayPoint,HomeDiff,AwayDiff,HomeRank,AwayRank,HomeGF,HomeGA,AwayGF,AwayGA
I1,22/09/2024,2024-2025,Roma,Udinese,3.0,0.0,H,1.0,0.0,H,14.0,9.0,6.0,3.0,15.0,11.0,2.0,1.0,2.0,2.0,0.0,0.0,3,10,-1,3,17,3,2,3,7,4
I1,22/09/2024,2024-2025,Inter,Milan,1.0,2.0,A,1.0,1.0,D,13.0,16.0,4.0,8.0,13.0,4.0,6.0,2.0,4.0,1.0,0.0,0.0,8,5,6,3,6,13,9,3,9,6
I1,24/09/2024,2024-2025,Atalanta,Como,2.0,3.0,A,1.0,0.0,H,8.0,14.0,5.0,7.0,12.0,17.0,6.0,2.0,1.0,3.0,0.0,0.0,6,2,0,-4,10,19,8,8,3,7
I1,27/09/2024,2024-2025,Milan,Lecce,3.0,0.0,H,3.0,0.0,H,15.0,16.0,6.0,7.0,5.0,8.0,4.0,7.0,1.0,1.0,1.0,0.0,8,5,4,-5,7,17,11,7,3,8
I1,28/09/2024,2024-2025,Udinese,Inter,2.0,3.0,A,1.0,2.0,A,10.0,16.0,3.0,7.0,13.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,10,8,0,5,4,7,7,7,10,5
I1,28/09/2024,2024-2025,Genoa,Juventus,0.0,3.0,A,0.0,0.0,D,7.0,12.0,2.0,3.0,8.0,14.0,5.0,3.0,2.0,1.0,0.0,0.0,5,9,-3,6,16,6,4,7,6,0
I1,28/09/2024,2024-2025,Bologna,Atalanta,1.0,1.0,D,0.0,0.0,D,5.0,23.0,1.0,5.0,16.0,12.0,2.0,9.0,3.0,3.0,1.0,0.0,6,6,-2,-1,13,12,6,8,10,11
I1,29/09/2024,2024-2025,Torino,Lazio,2.0,3.0,A,0.0,1.0,A,12.0,13.0,7.0,7.0,10.0,13.0,3.0,1.0,2.0,3.0,0.0,0.0,11,7,3,1,4,8,8,5,9,8
I1,29/09/2024,2024-2025,Como,Verona,3.0,2.0,H,1.0,0.0,H,24.0,6.0,11.0,3.0,10.0,19.0,9.0,1.0,2.0,5.0,0.0,1.0,5,6,-3,0,15,12,6,9,8,8
I1,29/09/2024,2024-2025,Roma,Venezia,2.0,1.0,H,0.0,1.0,A,22.0,18.0,5.0,7.0,8.0,13.0,6.0,3.0,1.0,2.0,0.0,0.0,6,4,2,-5,12,18,5,3,3,8
